url,title,content,category,keyword,category_explanation,keyword_explanation
https://speakerdeck.com/gaelvaroquaux/open-source-software-how-to-live-long-and-go-far,Open source software: how to live long and go far - Speaker Deck,"Open source software: how to live long and go far Open source software: how to live long and go far An opinionated guide to building open-source software toolswith a focus on Python and science A talk that I gave when I was stepping down as a lead for the nilearn software, passing the baton to new maintainers. My goal is to summarize what I have learned across the years as a maintainer of open source/  Gael Varoquaux More Decks by Gael Varoquaux Other Decks in Programming Featured Transcript Open source software: how to live long and go far Open source software: how to live long and go far A project vision is crucial Outline a clear vision & Building with a community Community-driven "" Open source G Varoquaux Building with a community Community-driven "" Open source A community Building with a community Community-driven "" Open source A community Building with a community Community-driven "" Open source A community Limiting complexity G Varoquaux 5 Limiting complexity: being inclusive means keeping it simple Every required Limiting complexity: understanding is harder than building Debugging is twice Limiting complexity: a super-linear cost Features are costly [An Experiment Technical debt: today’s asset may be tomorrow’s liability Choose widely Technical debt: today’s asset may be tomorrow’s liability Choose widely Limiting drag Compiled code increases severely burden Installation is where Limiting drag Navigating the trade-oﬀs Compiled code increases severely burden Design: innovation and product design G Varoquaux 11 Design: innovation and product design G Varoquaux 11 Design: innovation and product design Use technical sophistication to ﬁnd Design: ergonomics Separating control of temperature and ﬂow rate Rethinking Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Design: Some API design principles for Python tools Consistency, consistency, Iterations: Short cycles, limited ambitions G Varoquaux 24 Iterations: Short cycles, limited ambitions Keep coming back to your Iterations: Limited resources Limited resources are good Need success in Quality: a priority G Varoquaux 26 Quality: a priority Quality will give you users Bugs give Quality: a priority Quality will give you users Bugs give Quality: everywhere Great documentation Simplify, but don’t dumb down Focus Quality: everywhere Great documentation Simplify, but don’t dumb down Focus Quality: Process Code review Everything is discussed ñ foster knowledge Users ﬁrst: Enabling Usability is key Users are not stupid, Users ﬁrst: reducing their cognitive load Design: Jonathan Ive, an @GaelVaroquaux Open source software: how to live long and go @GaelVaroquaux Open source software: how to live long and go SpeakerDeck Top Categories Use Cases Resources Features Copyright © 2025 Speaker Deck, LLC. All slide content and descriptions are owned by their creators.",general tools,"open-source software, Python, community","The article provides a guide to building open-source software, focusing on Python and science.",Open-source software is the central topic of the article.; Python is mentioned as the primary language for the software; Community is emphasized throughout the text
https://medium.com/@seanjtaylor/a-personal-retrospective-on-prophet-f223c2378985,A Personal Retrospective on Prophet | by Sean J. Taylor | Medium,"Sign up Sign in Sign up Sign in A Personal Retrospective on Prophet -- 1 Listen Share February 2017 was a pretty exciting time for me.Ben Lethamand I were on the cusp ofopen sourcing Prophet, now a popular forecasting library but at the time just a library for internal use at Facebook. We had developed the method for a specific forecasting use-case, and then gotten a few additional wins helping internal teams improve the accuracy of their growth forecasts. The Prophet open source launch was so successful I was taken by surprise, but with hindsight we had a lot of things going for us: We were invited to give manytalks about Prophetand a lot of people now associate me quite closely with the project. Being a co-creator of a popular open source project has had a number of unseen consequences, and I think it’s instructive to share this more personal part of the journey and some lessons I’ve learned. Unearned credibility Prophet isan approach to forecastingborn out of pragmatism — at the time we had found few off-the-shelf methods that were easy to use and accounted for the complexities we faced. It just wasn’t a rigorous research project like a forecasting researcher might complete. We validated the method on a few use cases at Facebook and then deemed it worth sharing. Some people now include me in a group of expert time-series forecasters, when a more accurate portrayal would be that I spent about a year working on a specific forecasting problem, had a great collaborator in Ben, and was pretty good at writing usable software. I think anyone who’s an actual forecasting expert could justifiably feel we got a little more credit that we deserved for the project. I regret not engaging with the forecasting community earlier in the project and trying to understand how the method fit within existing approaches. A more thorough research project might have helped us create a more broadly useful technique, rather than something tailored to the use cases we were tackling. Contribution guilt After open sourcing Prophet I couldn’t keep up with the community in helping to maintain the project. Part of it was prioritization — I am usually working on a variety of things and I viewed the project as “finished” in the sense that I had already made the improvements I wanted for the teams at Facebook. Ben took on a lot of maintenance work, andother folksstepped in and helped do the dirty work to make sure people could continue to painlessly install and use the software. I’ll never be able to fully transfer the credit I get over to them, but I wish I could. I’m always going to feel like I abandoned our users by not participating more fully in the ongoing improvements and maintenance. The tool creator’s dilemma I did not face some difficult choice about whether to share Prophet, it felt obviously useful and relatively low cost to open it up. But I now feel some misgivings about it on a recurring basis — it’s hard for me to conclude it was unambiguously positive to share it publicly. Many folks would have been worse off if Prophet were not open sourced (I’ve heard many success stories!), and the competition that it helped foster in the forecasting software space has been very beneficial for practitioners. But there are many plausible negative effects as well, as people mis-apply Prophet to problems and overly trust the resulting forecasts. The central problem is that the method isn’t as great or general as some people believe it to be. I sum this up here: I do actually feel a bit of shame about the project at this point — of course I wish it worked better! Many people go out andfind obvious problemsin Prophet forecasts, or they build better methods and demonstrate that it is a worse method. A large number of the citations on theForecasting at scalepaper are showing it underperforming other approaches. I see no flaws with these studies, Prophet is not a reasonable model in many settings. I’m glad people are motivated to create better approaches and to do the evaluations needed to show they are superior. I wish I could definitively communicate that I never intended for Prophet to be the best and that I believe there are better options in many cases. One reason I haven’t continued to work on forecasting is because there arebetter researchersto work on it andbetterapproachesavailableto build on. But I struggle with how to “unspread” an already widely proliferated tool — I guess this post may help a bit, but ultimately it’s challenging to communicate the nuanced view that people should consider a variety of methods besides Prophet and carefully choose among them based on their requirements. Sharp edges A running joke on Twitter is thatProphet was the causeof Zillow’s 2021 stock price collapse (some folksdidn’t really get the joke). This bit is very funny to me because it takes the “overly trusting your tools” pathology to the logical extreme:what if you bet billions of dollars on the accuracy of models you didn’t understand and didn’t eval",ai and legal systems,"forecasting library, Prophet, time-series","The article discusses an AI tool (Prophet) used for forecasting, which can be applied in various fields including legal systems.",Forecasting library is the main topic of the article.; Prophet is the specific AI tool discussed.; Time-series indicates the type of data this tool works with.
https://github.com/jackboyla/GLiREL,GitHub - jackboyla/GLiREL: Generalist and Lightweight Model for Relation Extraction (Extract any relationship types from text),"Navigation Menu Search code, repositories, users, issues, pull requests... Provide feedback We read every piece of feedback, and take your input very seriously. Saved searches Use saved searches to filter your results more quickly To see all available qualifiers, see ourdocumentation. Generalist and Lightweight Model for Relation Extraction (Extract any relationship types from text) Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. jackboyla/GLiREL Folders and files Latest commit History Repository files navigation GLiREL : Generalist and Lightweight model for Zero-Shot Relation Extraction GLiREL is a Relation Extraction model capable of classifying unseen relations given the entities within a text. This builds upon the excelent work done by Urchade Zaratiana, Nadi Tomeh, Pierre Holat, Thierry Charnois on theGLiNERlibrary which enables efficient zero-shot Named Entity Recognition.  📄 GLiREL Paper•📄 GLiNER Paper•🤗 Demo•🤗 Available models Installation Usage Once you've downloaded the GLiREL library, you can import theGLiRELclass. You can then load this model usingGLiREL.from_pretrainedand predict entities withpredict_relations. Expected Output Constrain labels In practice, we usually want to define the types of entities that can exist as a head and/or tail of a relationship. This is already implemented in GLiREL: Usage with spaCy You can also load GliREL into a regular spaCy NLP pipeline. Here's an example using an English pipeline. Expected Output Example training data NOTE that the entity indices are inclusive i.e""Binsey""is[7, 7]. This differs from spaCy where the end index is exclusive (in this case spaCy would set the indices to[7, 8]) JSONL file: License GLiRELbyJack Boylanis licensed underCC BY-NC-SA 4.0. Citation If you use code or ideas from this project, please cite: About Generalist and Lightweight Model for Relation Extraction (Extract any relationship types from text) Topics Resources Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. Stars Watchers Forks Releases9 Packages0 Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. Contributors3 Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. Languages Footer Footer navigation",ai and legal systems,"relation extraction, named entity recognition, spacy","The article discusses an AI model for relation extraction, specifically in the context of legal systems.",Relation Extraction is the central concept of the article.; Named Entity Recognition is a related technology mentioned.; Spacy is a specific tool used in this context.
https://www.latencyconf.io/sessions/pandas-should-go-extinct,Pandas Should Go Extinct | Latency Conference,"talk Pandas Should Go Extinct Eddie Atkinson Talk Description Just as fire was a great innovation over freezing to death, so too was Pandas a great innovation over Excel. But just as we no longer have bonfires in the middle of our houses for heating (we simply load a small dataframe into memory on windows), the time has come to move to better tools. Join me as I discuss the Polar opposite of Pandas for in-memory analytics, the database that quacks and why you probably don't need Databricks.  Knowledge Level Level 200: Experienced. Attendees should have an awareness of the topic but may not have practical experience. Talk Details Friday, 4 April 2025 11:30 - 11:45 Latency ConferenceThe only local conference dedicated to building secure, high performing cloud native (or even adjacent) applications. ContactTo find out more, contact us at:contact@latencyconf.io Â© 2025 Latency Conference. All Rights Reserved",general tools,"in-memory analytics, database, Databricks","The article discusses a tool (a database) that is used for in-memory analytics, and it mentions Databricks as an alternative.",In-memory analytics is the main focus of the article.; Database is the type of technology being discussed.; Databricks is mentioned as a possible alternative.
https://orbae.adastra.eco/,Orbae,"See the land conversion impacts of agriculture A common language for understanding land use change Orbae reveals what happens when agriculture expands into natural ecosystems. Working from the ground up, it calculates carbon emissions and other metrics in high resolution, then combines them to reflect any land area in the world â a farm, a country or anywhere in between. Prioritize Take action Track your progress How it works Data built from the ground up Any time land conversion is observed from space, Orbae attributes it to the right commodity. Field per field. Our supporters Supporters make Orbae possible.To help us keep the data open, join us. All crops. Anywhere in the world. Any level of traceability. All types of land conversion. This is our ambition for Orbae. Itâs a work in progress, but weâre well on our way there. Weâre prioritizing the commodities that are well-known drivers of deforestation, then expanding to others. features See your land conversion hotspots like never before Aligned with the Greenhouse Gas Protocol and Science Based Targets initiative.Fit for reporting â and more importantly, for strategic decision making. An innovation from AdAstra Sustainability, experts in environmental accounting, data science, GIS and product development. We created Orbae because we believe that good decisions start with good data. Start-up innovation project supported by Innosuisse, the Swiss Innovation Agency Why land conversion We have less than 5 years to stop converting landâ¨and start restoring it. Land conversion makes up an estimated 11% of global greenhouse gas emissions â the majority of which come from agriculture. The global deadline to stop forest loss and protect other natural ecosystems is set for 2030. better data is here Together we can stop land conversion by 2030. Stay in touch",environmental sustainability,"land conversion, agriculture emissions, Orbae","The article discusses a technology (Orbae) that helps monitor and analyze land conversion impacts, with a focus on agriculture.",Land conversion is the central concept of the article.; Agriculture emissions are discussed as one of the main drivers of deforestation.; Orbae is the tool used for monitoring and analysis.
https://cambridge-intelligence.com/mapweave/,"
		MapWeave - The Geospatial Visualization SDK that uncovers every connection	","MapWeave The geospatial visualization SDK that uncovers every connection Build groundbreaking apps that make geospatial connections clear, without the clutter. Unite your map, network, and timeline insights in a single view for the first time. Download the white paper What is MapWeave? Uniquely actionable geospatial intelligence Weave your connected events and observations into powerful geospatial visualizations. MapWeave seamlessly integrates network, timeline and geospatial views, creating rich user experiences that uncover every connection. Geospatial insights at scale MapWeave scales effortlessly, handling your biggest and most complex datasets with ease. Its dynamic adaptive rendering eliminates chart clutter, guiding users to the patterns, outliers and network structures they need to see, and making geospatial insights crystal clear at any zoom level. Skip the integration headache MapWeave works seamlessly with your trusted tech stack, thanks to its flexible open architecture. Our expanding library of basemap adapters ensures compatibility with your preferred map assets, tile servers, and data services. And with interactive demos, quick-start guides and our responsive support, you’ll be up and running in no time. Want to try it for yourself? Request a free trial Solve your toughest geospatial intelligence challenges  OSINT investigations  Communications intelligence  Maritime intelligence  Network digital twins  Cyber threat intelligence MapWeave’s features Trusted by Our customers span six continents. They range from pioneering startups to Fortune 500 companies and national governments. From the blog Maritime intelligence visualization We demonstrate graph visualization integration with Google Cloud's Spanner Graph for scalable, real-time data insights Elevate your graph and timeline data visualization: Smoother, smarter, sharper Visit the blog Company Products Resources Register for news & updates  Registered in England and Wales with Company Number 07625370 | VAT Number 113 1740 616-8 Hills Road, Cambridge, CB2 1JP. All material © Cambridge Intelligence.Read our Privacy Policy.",graph technologies,"geospatial visualization, network analysis, real-time data insights",The article discusses a geospatial visualization SDK that integrates network and timeline insights for various intelligence applications.,Geospatial visualization is the central concept of the article.; Network analysis is discussed as a key feature of the technology.; Real-time data insights are mentioned as a capability.
https://github.com/yWorks/yfiles-jupyter-graphs-for-sparql,GitHub - yWorks/yfiles-jupyter-graphs-for-sparql: The open-source adapter for working with RDF databases and SPARQL queries in Jupyter notebooks leveraging the yFiles Graphs for Jupyter plugin.,"Navigation Menu Search code, repositories, users, issues, pull requests... Provide feedback We read every piece of feedback, and take your input very seriously. Saved searches Use saved searches to filter your results more quickly To see all available qualifiers, see ourdocumentation. The open-source adapter for working with RDF databases and SPARQL queries in Jupyter notebooks leveraging the yFiles Graphs for Jupyter plugin. License Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. yWorks/yfiles-jupyter-graphs-for-sparql Folders and files Latest commit History Repository files navigation yFiles Jupyter Graphs for SPARQL  Easily visualize aSPARQLquery forRDFgraphs in a Jupyter Notebook. This packages provides an easy-to-use interface to
theyFiles Graphs for Jupyterwidget to directly visualize queries. Installation Just install it from thePython Package Index or seeREADME_DEV.mdto build it yourself. Usage Seeexamples Supported Environments The widget uses yFiles Graphs for Jupyter at its core, and therefore runs in any environment that is supported by it,
seesupported environments. Documentation The main classSparqlGraphWidgetprovides the following API: Constructor For all arguments, there is aset_[arg]andget_[arg]method. Methods Important If you want to use SELECT query types, ensure you select all three triple components—subject, predicate, and object. Otherwise, a graph cannot be constructed from the selected data.
For an example look at theGetting Startednotebook To get an overview of the data structure, you can use the following function.
The output is constrained by thelimitproperty, meaning
only a partial schema may be displayed depending on the dataset. The graph visualization can be adjusted by adding configurations to each node label or edge type with the following
functions: add_subject_configuration(predicate: Union[str, list[str]], **kwargs: Dict[str, Any]) add_object_configuration(predicate:  Union[str, list[str]], **kwargs: Dict[str, Any]) add_predicate_configuration(type:  Union[str, list[str]], **kwargs: Dict[str, Any]) add_parent_relationship_configuration(type: Union[str, list[str]], reverse: Optional[bool] = False) -> None For a detailed documentation  look at thecore widget To remove a configuration use the following functions: How configuration bindings are resolved The configuration bindings (seeadd_object_configuration, add_subject_configurationoradd_predicate_configuration) are resolved as follows: If the configuration binding is a string, the package first tries to resolve it against the item's properties
and uses the property value if available. If there is no property with the given key, the string value itself is used as
a constant binding. In case you want to create a constant string value as binding, which also happens to be a property key, use a binding
function with a constant string as return value instead. If the configuration binding is a function, the return value of the function is used as value for the respective
configuration. yFiles Graphs for Jupyter The graph visualization is provided byyFiles Graphs for Jupyter, a
versatile graph visualization widget for Jupyter Notebooks. It can import and visualize graphs from various popular Python packages
(e.g.NetworkX,PyGraphviz,igraph) or just structurednode and edge lists. And provides a rich set of visualization options to bring your data to life (see
theexample notebooks). Feature Highlights For a detailed feature guide, check out the main widgetexample notebooks Code of Conduct This project and everyone participating in it is governed by
theCode of Conduct.
By participating, you are expected to uphold this code.
Please report unacceptable behavior tocontact@yworks.com. Feedback This widget is by no means perfect.
If you find something is not working as expected
we are glad to receive an issue report from you.
Please make sure
tosearch for existing issuesfirst
and check if the issue is not an unsupported feature or known issue.
If you did not find anything related, report a new issue with necessary information.
Please also provide a clear and descriptive title and stick to the issue templates.
Seeissues. Dependencies License SeeLICENSEfile. About The open-source adapter for working with RDF databases and SPARQL queries in Jupyter notebooks leveraging the yFiles Graphs for Jupyter plugin. Topics Resources License Code of conduct Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. Stars Watchers Forks Releases2 Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. Contributors2 Uh oh! There was an error while loading.Please reload this page. There was an error while loading.Please reload this page. Languages Footer Footer navigation",graph technologies,"SPARQL, RDF databases, yFiles Graphs for Jupyter","The article discusses a tool for visualizing SPARQL queries on RDF graphs within Jupyter Notebooks, using the yFiles Graphs for Jupyter plugin.",SPARQL is the query language used in this context.; RDF databases are the type of data management systems being worked with.; yFiles Graphs for Jupyter is the specific technology mentioned.
https://medium.com/eqtventures/knowledge-graph-s-and-llm-based-ontologies-have-a-very-good-shot-at-unlocking-genai-in-production-1b167533ef63,Knowledge Graph(s) and LLM-based ontologies have a very good shot at unlocking GenAI in production | by EQT Ventures | eqtventures | Medium,"Sign up Sign in Sign up Sign in eqtventures  Multi-stage VC fund, powering the next generation of founders with the support needed to build global success stories  Knowledge Graph(s) and LLM-based ontologies have a very good shot at unlocking GenAI in production -- 6 Listen Share By:Julien Hobeika,Pierrick CudonnecandAlexander Fred-Ojala In the wake of hype around ChatGPT, enterprises began dedicating budgets to generative AI (genAI) adoption. As they played around with genAI, and its potential use cases, they quickly realised that to be truly useful and effective, these models need to interact with their proprietary, “private” company data. This realization has sparked a surge of companies focused on integrating AI with enterprise data — some developing solutions to fine-tune models directly in-house, while others look to retrieval-augmented generation (RAG) as a way to incorporate company knowledge into LLM analysis and outputs. However, the deployment of “AI in production” is yet to happen. One of the main hurdles is that the quality of the data used to feed the models is lacking. Companies likeDeasieandUnstructuredare tackling this problem by focusing on metadata labelling to crack the “data foundation layer”. There is, also, another promising approach gaining attention: knowledge graphs (KGs). Graph databases are the solution to the “data foundation layer” and will unlock KGs value catch-up Graph databases have failed to capture as much value as their relational counterparts (see chart). At the scale of a single business, no graph database has achieved the same widespread adoption or impact of platforms like Snowflake or Databricks. One key reason is that relational databases power apps at scale (e.g. CRMs, ERPs etc), while graph databases do not. This is largely because no KG architecture has been able to capture and update enough data to comprehensively and accurately map a business. We believe that graph databases are the solution to enabling AI apps to move into production in the enterprise market, because they can solve the “data foundation layer” problem. The reason for this is because LLMs are a powerful way to build ontologies and semantic layers. Let’s explore why. Graph databases overcame some of the relational database limits and powered “early” AI apps, but they remain limited When Leonhard Euler (1707–1783) came up with the foundation of graph theory — while trying to prove that theKönigsberg bridge problem had no solution— he likely had no idea of the immense business potential of graph databases. In the 1970s the relational database model emerged and became the dominant paradigm for decades. Relational databases excelled at handling structured tabular data — and they still do, as exemplified by Snowflake. One of the limitations of relational databases is that they struggle with complex relationships due to their reliance on joins and normalization. Enter graph databases, which represent data as nodes (entities) and edges (relationships), mirroring graph theory. Neo4j, which recently surpassed$200min ARR, is probably the most famous example of a graph database company. Graph databases are a good solution to problems that involve real-world and contextual/relationship data in domains such as supply chains, recommendation systems, and fraud detection. They often involve complex relationships that are cumbersome to model and query in traditional databases. Graph databases were designed to represent and query these relationships natively — some great startups actually use knowledge graphs as a powerful way to build their products, such asCausalyandSpread. Problems: Graph databases have failed to scale, and gen-AI use cases are still not in production in Enterprises Scaling graph databases to handle massive amounts of data is awell-documented challenge. Moreover, they are notoriously hard to productize because ofontologies. In short, ontologies define the key entities (nodes) in a domain, their attributes, and the relationships (edges) connecting them. Until LLMs came about, ontology design was largely a manual process, often handled by consultants. This manual reliance is one of the reasons whyPalantir’s Foundry, which uses a graph-based model, became valuable but was very hard to scale as a product. LLMs and transformer-based models are particularly well-suited to define ontologies. First, they excel at capturing semantic relationships (via attention mechanism). Second, LLMs are also really good at creating vector representations (embeddings) that effectively capture the hierarchical and semantic relationships (logical) between entities. And third, they’re easy to update — a must have feature for governance as well as changing fields. As a result, LLMs are a powerful way to build ontologies, enabling knowledge graphs to be built and updated much faster. After the ontology has been “cracked”, it becomes possible to infer the graph representation of an entity — be it a business unit, process o",graph technologies,"knowledge graph, graph database, AI in production",The article discusses the role of graph databases in unlocking AI capabilities within enterprises.,Knowledge graph is a central concept as it's being used to enhance AI models.; Graph database is mentioned as the technology that can solve the 'data foundation layer' problem.; AI in production refers to the deployment of AI models within enterprises.
https://www.mongodb.com/blog/post/supercharge-ai-data-management-knowledge-graphs,Supercharge AI Data Management With Knowledge Graphs | MongoDB Blog,"Supercharge AI Data Management With Knowledge Graphs WhyHow.AI has built andopen-sourceda platform using MongoDB, enhancing how organizations leverage knowledge graphs for data management and insights. Integrated with MongoDB, this solution offers a scalable foundation with features likevector searchand aggregation to support organizations in their AI journey. Knowledge graphs address the limitations of traditionalretrieval-augmented generation(RAG) systems, which can struggle to capture intricate relationships and contextual nuances in enterprise data. By embedding rules and relationships into a graph structure, knowledge graphs enable accurate and deterministic retrieval processes. This functionality extends beyond information retrieval: knowledge graphs also serve as foundational elements for enterprise memory, helping organizations maintain structured datasets that support future model training and insights. WhyHow.AIenhances this process by offering tools designed to combinelarge language model(LLM) workflows with Python- and JSON-native graph management. Using MongoDB’s robust capabilities, these tools help combine structured and unstructured data and search capabilities, enabling efficient querying and insights across diverse datasets. MongoDB’s modular architecture seamlessly integrates vector retrieval, full-text search, and graph structures, making it an ideal platform for RAG and unlocking the full potential of contextual data. Check out ourAI Learning Hubto learn more about building AI-powered apps with MongoDB. Creating and storing knowledge graphs with WhyHow.AI and MongoDB Creating effective knowledge graphs for RAG requires a structured approach that combines workflows from LLMs, developers, and nontechnical domain experts. Simply capturing all entities and relationships from text and relying on an LLM to organize the data can lead to a messy retrieval process that lacks utility. Instead, WhyHow.AI advocates for a schema-constrained graph creation method, emphasizing the importance of developing a context-specific schema tailored to the user’s use case. This approach ensures that the knowledge graphs focus on the specific relationships that matter most to the user’s workflow. Once the knowledge graphs are created, the flexibility of MongoDB’s schema design ensures that users are not confined to rigid structures. This adaptability enables seamless expansion and evolution of knowledge graphs as data and use cases develop. Organizations can rapidly iterate during early application development without being restricted by predefined schemas. In instances where additional structure is required, MongoDB supports schema enforcement, offering a balance between flexibility and data integrity. For instance, aligning external research with patient records is crucial to delivering personalized healthcare. Knowledge graphs bridge the gap between clinical trials, best practices, and individual patient histories. New clinical guidelines can be integrated with patient records to identify which patients would benefit most from updated treatments, ensuring that the latest practices are applied to individual care plans. Optimizing knowledge graph storage and retrieval with MongoDB Harnessing the full potential of knowledge graphs requires both effective creation tools and robust systems for storage and retrieval. Here’s how WhyHow.AI and MongoDB work together to optimize the management of knowledge graphs. Storing data in MongoDB WhyHow.AI relies on MongoDB’s document-oriented structure to organize knowledge graph data into modular, purpose-specific collections, enabling efficient and flexible queries. This approach is crucial for managing complex entity relationships and ensuring accurate provenance tracking. To support this functionality, the WhyHow.AI Knowledge Graph Studio comprises several key components: Workspacesseparate documents, schemas, graphs, and associated data by project or domain, maintaining clarity and focus. Chunksare raw text segments with embeddings for similarity searches, linked to triples and documents to provide evidence and provenance. Graph collectionstores the knowledge graph along with metadata and schema associations, all organized by workspace for centralized data management. Schemasdefine the entities, relationships, and patterns within graphs, adapting dynamically to reflect new data and keep the graph relevant. Nodesrepresent entities like people, locations, or concepts, each with unique identifiers and properties, forming the graph’s foundation. Triplesdefine subject-predicate-object relationships and store embedded vectors for similarity searches, enabling reliable retrieval of relevant facts. Querieslog user queries, including triple results and metadata, providing an immutable history for analysis and optimization. To enhance data interoperability, MongoDB’s aggregation framework enables efficient linking across collections. For instance, retrieving chunks associated with ",ai and legal systems,"knowledge graph, large language model, MongoDB","The article discusses the use of AI, specifically knowledge graphs and large language models, in the context of data management for legal systems.",Knowledge graph is the central concept of the article in the context of AI and data management.; Large language model (LLM) is a specific type of AI mentioned as being integrated with knowledge graphs.; MongoDB is the technology platform used for implementing this solution.
https://enterprise-knowledge.com/the-resource-description-framework-rdf/,The Resource Description Framework (RDF) - Enterprise Knowledge,"White Paper The Resource Description Framework (RDF) Simply defined, a knowledge graph is a network of entities, their attributes, and how they’re related to one another. While these networks can be captured and stored in avariety of formats, most implementations leverage a graph based tool or database. However, within the world of graph databases, there are a variety of syntaxes or flavors that can be used to represent knowledge graphs. One of the most popular and ubiquitous is the Resource Description Framework (RDF), which provides a means to capture meaning, or semantics, in a way that is interpretable by both humans and machines. What is RDF? The Resource Description Framework (RDF) is a semantic web standard used to describe and model information for web resources or knowledge management systems. RDF consists of “triples,” or statements, with a subject, predicate, and object that resemble an English sentence. For example, take the English sentence: “Bess Schrader is employed by Enterprise Knowledge.” This sentence has: Bess Schrader and Enterprise Knowledge are two entities that are linked by the relationship “employed by.” An RDF triple representing this information would look like this:  What is the goal of using RDF? RDF is asemanticweb standard, and thus has the goal of representing meaning in a way that is interpretable by both humans and machines. As humans, we process information through a combination of our experience and logical deduction. For example, I know that “Washington, D.C.” and “Washington, District of Columbia” refer to the same concept based on my experience in the world – at some point, I learned that “D.C.” was the abbreviation for “District of Columbia.” On the other hand, if I were to encounter a breathing, living object that has no legs and moves across the ground in a slithering motion, I’d probably infer that it was a snake, even if I’d never seen this particular object before. This determination would be based on the properties I associate with snakes (animal, no legs, slithers). Unlike humans, machines have no experience on which to draw conclusions, so everything needs to be explicitly defined in order for a machine to process information this way. For example, if I want a machine to infer the type of an object based on properties (e.g. “that slithering object is a snake”), I need to define what a snake is and what properties it has. If I want a machine to reconcile that “Washington, D.C.” and “Washington, District of Columbia” are the same thing, I need to define an entity that uses both of those labels. RDF allows us to create robust semantic resources, like ontologies, taxonomies, and knowledge graphs, where the meaning behind concepts is well defined in a machine readable way. These resources can then be leveraged for any use case that requires context and meaning to connect and unify data across disparate formats and systems, such assemantic layersandauto-classification. How does RDF work? Let’s go back to our single triple representing the fact that “Bess Schrader works at Enterprise Knowledge.”  We can continue building out information about the entities in our (very small) knowledge graph by giving all of our subjects and objects types (which indicate the general category/class that an entity belongs to) and labels (which capture the language used to refer to the entity).  These types and labels are helping us define the semantics, or meaning, of each entity. By explicitly stating that “Bess Schrader” is a person and “Enterprise Knowledge” is an organization, we’re creating the building blocks for a machine to start to make inferences about these entities based on their types. Similarly, we can create a more explicit definition of our relationship and attributes, allowing machines to better understand what the “employed by” relationship means. While the above diagram represents our predicate (or relationship) as a straight line between two entities, in RDF, our predicate is itself an entity and can have its own properties (such as type, label, and description). This is often referred to as making properties “first class citizens.”  Uniform Resource Identifiers (URIs) But how do we actually make this machine readable? Diagrams in a blog are great in helping humans understand concepts, but machines need this information in a machine readable format. To make our graph machine readable, we’ll need to leverage unique identifiers. One of the key elements of any knowledge graph (RDF or otherwise) is the principle of “things, not strings.” As humans, we often use ambiguous labels (e.g. “D.C”) when referring to a concept, trusting that our audience will be able to use context to determine our meaning. However, machines often don’t have sufficient context to disambiguate strings – imagine “D.C.” has been applied as a tag to an unstructured text document. Does “D.C.” refer to the capital city of the US, the comic book publisher, “direct current,” or something else entirely? ",graph technologies,"RDF, knowledge graph, semantic web","The article discusses the Resource Description Framework (RDF), a popular and ubiquitous graph-based technology for knowledge representation.",RDF is the central topic of the article.; Knowledge graph is an essential concept in relation to RDF.; Semantic web is associated with RDF as it is a standard used for representing meaning.
